1;Introduction to Electrodynamics;979001;1;English;85;
2;Understanding of Steel Construction;979002;2;English;105.5;
3;Guide to Networking;979003;3;Hindi;200;
4;Transfer of Heat and Mass;979004;2;English;250;
5;Conceptual Physics;979005;1;NULL;145;
6;Fundamentals of Heat;979006;1;German;112;
7;Advanced 3d Graphics;979007;3;Hindi;56;
8;Human Anatomy;979008;5;German;50.5;
9;Mental Health Nursing;979009;5;English;145;
10;Fundamentals of Thermodynamics;979010;2;English;225;
11;The Experimental Analysis of Cat;979011;4;French;95;
12;The Nature of World;979012;4;English;88;
13;Environment a Sustainable Future;979013;4;German;100;
14;Concepts in Health;979014;5;NULL;180;
15;Anatomy & Physiology;979015;5;Hindi;135;
16;Networks and Telecommunications;00009790_16;3;French;45;
